Library,pathway,ES,NES,NOM p-val,FDR q-val,Lead_genes
GO-BP,Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463),0.28364402830957425,0.757205568176351,0.8044943820224719,0.9341712187702853,GRIN2D
GO-BP,Cellular Response To Organic Substance (GO:0071310),-0.25607298720846017,-0.9519364114322507,0.5549915397631133,0.9343969198332512,FFAR4;DPYSL3;IGFBP5;CCR7;CYP1B1;ZNF16;SLIT2;PLCG2;MME;AKAP6;IL18;TIPARP;AVPR2;TNF;PID1;SOCS2;TRAF6;SLIT1
GO-BP,Regulation Of Centriole Replication (GO:0046599),0.25586837298638027,0.7574811183729374,0.8083333333333333,0.9344472304391157,PLK4;CENPJ;NUP62;SASS6;KAT2A
Reactome,Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,-0.32365891137806724,-0.945079990869371,0.5230496453900709,0.934563361146358,MPP3;GNG11;GNG10;GNG5;GNG12;PLCB3;GNB2;GNB1;GNGT2;GNG7;DLG1
Reactome,PTEN Regulation R-HSA-6807070,-0.21807116963088685,-0.9459298690030076,0.5736925515055468,0.9346261979240884,SCMH1;CSNK2B;SLC38A9;SNAI2;SALL4;MTA3;CNOT6L;PML;RPS27A;PHC3;ATN1;UBB;UBA52;PSME4;PSMB6;PSMB3;HDAC7;PSMD5;TNKS;HDAC5;PSMB4;LAMTOR1;TNRC6B;MLST8;LAMTOR2;REST;PSMC4;CBX8;AGO2;LAMTOR3;TNKS2;TNRC6C;USP7;RRAGD;MAPK1;CHD3;PTEN;PSMA5;SEM1
GO-BP,rRNA Modification (GO:0000154),-0.34875689361337703,-0.9835613066496061,0.4627659574468085,0.934890218061908,TFB2M;NSUN3;TRMT112;METTL5;NOP10
Reactome,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,0.19450142815127294,0.7978625948792147,0.8789346246973365,0.9348935992848123,PSMD13;PSMD2;PSMD14;PSMD10;PSMD6;PSMF1;CCNA2;ANAPC10;ANAPC7;PSMD7;CDK2;PSMA1;PSMD11;CDC27;PSME1;PSMA4;UBE2C;UBC;CCNE2;PSMD12;UBE2D1;PSME3;PSMA6;PSMA7;CDC6;PSME2
Reactome,SEMA3A-Plexin Repulsion Signaling By Inhibiting Integrin Adhesion R-HSA-399955,-0.36177930196207253,-0.9382502678012677,0.5387453874538746,0.9350111704209783,SEMA3A;FES;NRP1;FARP2;RNASE1
GO-BP,Myeloid Cell Activation Involved In Immune Response (GO:0002275),-0.36396471583001366,-0.9521232827299176,0.5173674588665448,0.9350114867781032,PLCG2;EHHADH;TYROBP
KEGG,Non-small cell lung cancer,0.18861871152170548,0.771275937310495,0.913151364764268,0.9350736325577031,ALK;PRKCB;BAK1;E2F1;STAT5B;TP53;E2F2;STAT3;PIK3R2;NRAS;EML4;CDKN2A;GRB2;PIK3CB
GO-BP,Positive Regulation Of Response To Cytokine Stimulus (GO:0060760),-0.3796676259950862,-0.9508629656431546,0.5216535433070866,0.9351024089216905,GAS6;AXL;LRRC70
GO-BP,Positive Regulation Of Cardiac Muscle Hypertrophy (GO:0010613),-0.357566911752727,-0.9524363627075793,0.5441941074523396,0.9353044707540177,IGF1;IL6ST;MEF2A;PDE9A;AKAP6
