TF,activity,pvalue,FDR,direction
NFKB2,0.8006094018967983,0.7292038202285767,0.9961943348185927,activated_in_AD
TFDP1,0.79795324713614,0.7298885583877563,0.9961943348185927,activated_in_AD
ESR1,0.7916825781739687,0.7311466932296753,0.9961943348185927,activated_in_AD
WWTR1,0.790796354319333,0.7311466932296753,0.9961943348185927,activated_in_AD
DLX4,0.7882951321373319,0.7316854596138,0.9961943348185927,activated_in_AD
USF2,0.7841101991392458,0.7321047782897949,0.9961943348185927,activated_in_AD
MLXIPL,0.7839621150128581,0.7321047782897949,0.9961943348185927,activated_in_AD
ZBTB17,0.774065478583568,0.7393636703491211,0.9961943348185927,activated_in_AD
MYCN,0.7727494468663425,0.7393636703491211,0.9961943348185927,activated_in_AD
SATB2,0.7695277707707376,0.7406253218650818,0.9961943348185927,activated_in_AD
RARA,0.7667463644154477,0.7410584092140198,0.9961943348185927,activated_in_AD
ISL1,0.7344848770617461,0.7620048522949219,0.9961943348185927,activated_in_AD
EGR1,0.7329712974249037,0.7620048522949219,0.9961943348185927,activated_in_AD
ENO1,0.7230554234596067,0.7673062682151794,0.9961943348185927,activated_in_AD
KDM5C,0.7214393135162099,0.7673062682151794,0.9961943348185927,activated_in_AD
DMAP1,0.7158344559324702,0.768010139465332,0.9961943348185927,activated_in_AD
NR4A2,0.7153586229183779,0.768010139465332,0.9961943348185927,activated_in_AD
LYL1,0.7147950232146053,0.768010139465332,0.9961943348185927,activated_in_AD
NR2F6,0.6909011320945592,0.7860086560249329,0.9961943348185927,activated_in_AD
TBPL1,0.6871116024844542,0.7860086560249329,0.9961943348185927,activated_in_AD
NR0B2,0.6782588469537061,0.7924834489822388,0.9961943348185927,activated_in_AD
TTF1,0.6680641933571015,0.7958271503448486,0.9961943348185927,activated_in_AD
CEBPZ,0.6669302170199406,0.7958271503448486,0.9961943348185927,activated_in_AD
