"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"ARHGEF37",49.0139331728815,-1.88225198642175,-0.546131151475448,0.628613460341555,0.0027508292934026,0.328468492529923,"down_in_AD"
"VWA1",45.3718934384041,-3.95143905528557,-0.243738876365215,1.32229040230953,0.00280507211658795,0.332007351483519,"down_in_AD"
"NINJ2",164.120105360638,-0.948325337690692,-0.599367777926277,0.317635420631497,0.00283042903068975,0.332095468792146,"down_in_AD"
"PPIC",82.7345350231343,-1.7379229427586,-0.557336282834148,0.583707605222291,0.00290717590112868,0.338159693395942,"down_in_AD"
"GPRC5B",85.4061916529471,-1.21748819938179,-0.61394002698373,0.410110498571608,0.00299078638976008,0.341011095215122,"down_in_AD"
"CPVL",1106.75831210696,0.866785900445519,0.587699415014552,0.292019369049238,0.00299502600623687,0.341011095215122,"up_in_AD"
"ADCY4",39.8490262495089,1.61690160773901,0.614459508857193,0.544967406562332,0.00300750910328315,0.341011095215122,"up_in_AD"
"MELTF",482.513418199796,-1.83614793346069,-0.521916410664432,0.621246249345083,0.00312073698793576,0.348562356854351,"down_in_AD"
"H2BC14",187.668445967795,-2.35207270367731,-0.427851747499236,0.796273579836691,0.00313836520604005,0.348562356854351,"down_in_AD"
"OR2A7",13.7235549694187,-4.26122839679744,-0.324304060608357,1.44323641160944,0.0031516050942141,0.348562356854351,"down_in_AD"
"FADS1",3155.54779255525,0.917421323058469,0.595963335969266,0.311552806583781,0.00323295527462441,0.354652565207375,"up_in_AD"
"LRIG3",165.178700888652,-1.81039275447021,-0.524783157856291,0.617527525022004,0.0033713452944834,0.366851306923101,"down_in_AD"
"LBH",84.5211871042889,-3.87345092403327,-0.224736845981608,1.32741094616369,0.00352228365277063,0.379047438517176,"down_in_AD"
"IER3",683.994722286685,1.04293551124791,0.610750947522285,0.357595992067351,0.00353961144691056,0.379047438517176,"up_in_AD"
"GAS6",284.246930414821,-1.76634353020943,-0.523329565535677,0.607673216459614,0.00365225290618417,0.385441928930036,"down_in_AD"
"ASIC1",46.3073503293516,-4.65674594127609,-0.178880173193263,1.60305197085232,0.00367340968707262,0.385441928930036,"down_in_AD"
"ZNF558",136.537788099265,-1.60171967604363,-0.554673163426853,0.551568319833932,0.00368502251774807,0.385441928930036,"down_in_AD"
"KIAA1522",77.4164512134346,-2.38882375673165,-0.415612280587938,0.825399082526282,0.00380193826370516,0.394611946093644,"down_in_AD"
"S100A13",158.725595868429,-1.13029378503863,-0.592330873764671,0.39346763215955,0.00407048095086365,0.416083329318206,"down_in_AD"
"ABCG1",440.880012759044,-1.05316168438409,-0.586988425917655,0.367839250947017,0.00419514088170138,0.425601773810501,"down_in_AD"
"SDC2",556.982331265766,-1.41752876156914,-0.565291393017326,0.495756654288685,0.00424545299208825,0.427104238822503,"down_in_AD"
"CHRFAM7A",26.0103303622365,-2.94599852855351,-0.352980639997971,1.03105993554607,0.0042732581517111,0.427104238822503,"down_in_AD"
"SCMH1",172.089783278691,-0.979178565013046,-0.580944993836761,0.34377495900682,0.00439517226133892,0.436059259722397,"down_in_AD"
"PDHA1",875.326324252279,1.07894483468096,0.600240502429337,0.379951702311447,0.00451574740269872,0.441726094161731,"up_in_AD"
"LAMB2",549.948513878963,-1.43621319482959,-0.55803853587231,0.505789559910324,0.00451776484060764,0.441726094161731,"down_in_AD"
"GIMAP5",85.3941240611329,-1.24593059456239,-0.582302839840674,0.440314915919854,0.00466011027429451,0.446583811470504,"down_in_AD"
"LILRB3",203.375304529889,1.04916641529951,0.595268378416115,0.370848284652314,0.00466792945222797,0.446583811470504,"up_in_AD"
"PIR",145.773297691276,1.10179529723945,0.598479804373753,0.390111197677065,0.00473824028346096,0.447084448564607,"up_in_AD"
"NUTM2E",228.250889333131,-0.982216943870211,-0.575207886679569,0.34863192829037,0.00484222541619713,0.453723246810749,"down_in_AD"
"CCR2",28.1271428500136,1.97892214628676,0.528694876535972,0.703540444797344,0.00491114093895938,0.453876881434102,"up_in_AD"
"SERPING1",97.7197299411614,-2.44121596306605,-0.38116738131687,0.869133657869913,0.00497277105821975,0.4564462577453,"down_in_AD"
"TCEAL4",909.960287846389,0.852330703001057,0.562033897443048,0.304522244310046,0.00512752454512192,0.465486754796996,"up_in_AD"
"TPST1",16.9039662725256,-3.90863154598792,-0.264692575731174,1.40083548067013,0.00526731234305709,0.473812302965796,"down_in_AD"
"RAI14",80.3888609374905,-1.93778963598438,-0.463986372242785,0.699096195483761,0.00557387524094029,0.488365575493554,"down_in_AD"
"ZNF331",209.755629819528,-0.98700947168459,-0.56696572609612,0.356789062383118,0.00566847098375646,0.493449541831135,"down_in_AD"
"PDGFA",127.394184178872,3.0257667747997,0.364058075639057,1.09532906752616,0.00573733603885815,0.493840371912743,"up_in_AD"
"LRP5",138.891384913517,-2.69304310924087,-0.326900048334215,0.975182083096601,0.00575224634725594,0.493840371912743,"down_in_AD"
"CFP",25.6439988803165,-3.77296692508203,-0.238878683952043,1.36711702817342,0.00578371001628364,0.493840371912743,"down_in_AD"
"FCRL4",144.00756523013,-6.72430013877793,-0.0771112624835005,2.43848126252819,0.00582314754457224,0.493840371912743,"down_in_AD"
"PARD3B",21.6653814116549,-2.33721368623174,-0.428755994217535,0.848485510670678,0.00587691151508417,0.493840371912743,"down_in_AD"
"HMCN1",62.6965285837599,-4.27837423137002,-0.174349740186863,1.55368152660642,0.00589255909567566,0.493840371912743,"down_in_AD"
"COMT",261.235051418493,-1.09062404854803,-0.563691201516805,0.398475398801175,0.00620037678225471,0.513261864558054,"down_in_AD"
"NFKBIZ",571.418650112635,0.8639017132087,0.555293729985708,0.31597667695676,0.00625571285352448,0.51468496056467,"up_in_AD"
"LILRA6",111.119662326341,1.91244895370036,0.514272714877682,0.701102488706393,0.00637633286796462,0.516894272206794,"up_in_AD"
"SLC2A5",759.702756765154,1.65890799082276,0.545791392985303,0.608838372253657,0.00643579913516204,0.516894272206794,"up_in_AD"
"WLS",60.3018192169866,-1.65136333022708,-0.504955073882936,0.607113388692233,0.00652770670278682,0.521173648169837,"down_in_AD"
"ATP9A",195.294054973265,-1.55148677261452,-0.511573884152694,0.570982829061101,0.00658325499060121,0.522516821106954,"down_in_AD"
"B3GALNT1",182.143577059888,1.11704562805071,0.577211866040862,0.411628925416855,0.00665323840391752,0.524983308678708,"up_in_AD"
"PLS3",82.1450332490171,-3.80326888448432,-0.198657918086151,1.4028203269837,0.00670484764490913,0.52597970507418,"down_in_AD"
"MAN1A1",514.130512288292,0.965432153558717,0.566252290408653,0.356706721815903,0.00679934759729617,0.527262052473087,"up_in_AD"
"AVIL",86.3683804061083,-2.14628940665546,-0.405419881937898,0.795618074121878,0.00698333715060265,0.53235123261628,"down_in_AD"
"SERPINB9",530.669345315245,0.90483557859641,0.556026170442722,0.336099365287933,0.00709894147006584,0.533973960121398,"up_in_AD"
"PPP1R3B",286.564567636387,0.91732871691018,0.556827967150767,0.341128006132951,0.00716440751416393,0.533973960121398,"up_in_AD"
