"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"CCSAP",321.499724678652,-0.690301863917883,-0.511188804791193,0.247608313704306,0.00530544575762588,0.474081984156596,"down_in_AD"
"CCSER1",145.18310153639,0.0481666995355768,0.0202406080700239,0.494245013844521,0.922364985775271,0.999997691821602,"up_in_AD"
"CCSER2",842.331723559971,0.121585576852263,0.0877672190360538,0.261215939484756,0.641602059910918,0.999997691821602,"up_in_AD"
"CCT2",795.498034719462,0.1912550422053,0.151376823595468,0.216012346410041,0.375946646390877,0.999997691821602,"up_in_AD"
"CCT3",1578.64018071018,-0.0515471461683769,-0.031790671840013,0.331171365038741,0.876308141599029,0.999997691821602,"down_in_AD"
"CCT4",784.137346154339,0.200876370459778,0.131881037241758,0.304750384217076,0.509799124827483,0.999997691821602,"up_in_AD"
"CCT5",1126.19889562288,0.191048866530486,0.134100246080185,0.27446021850234,0.486372803982703,0.999997691821602,"up_in_AD"
"CCT6A",1948.30360763161,0.171769954432387,0.122195181995116,0.268202301520304,0.521880593350344,0.999997691821602,"up_in_AD"
"CCT6B",18.6606022978085,0.0700082565444617,0.00638453389895958,1.3275864044202,0.957944259681017,0.999997691821602,"up_in_AD"
"CCT7",1104.74315505758,0.183460357979308,0.141144593661735,0.23049254996632,0.42606156975349,0.999997691821602,"up_in_AD"
"CCT8",1450.23342171211,0.372100398525646,0.322583769795849,0.164947613427916,0.0240787640243388,0.999997691821602,"up_in_AD"
"CCZ1",292.973236935493,0.133581667140457,0.0976628088461878,0.25516070274445,0.600612611224714,0.999997691821602,"up_in_AD"
"CCZ1B",327.244210094171,0.178165506135623,0.122696051882005,0.283071923331888,0.529087131067254,0.999997691821602,"up_in_AD"
"CD101",428.617151743708,1.07140312738288,0.37866689077438,0.576682592660616,0.0631870246003515,0.999997691821602,"up_in_AD"
"CD109",230.501528932199,-0.0284782172977868,-0.00729071318677628,0.716132345303343,0.968279127930621,0.999997691821602,"down_in_AD"
"CD14",2565.1534428352,-0.184607046975807,-0.0607526024569906,0.597494219500449,0.75734529227135,0.999997691821602,"down_in_AD"
"CD151",219.491474756924,0.231322902998833,0.0890970995612703,0.53351112841742,0.664589175294271,0.999997691821602,"up_in_AD"
"CD163",4839.59333304517,-0.116474527312955,-0.0133150166450117,1.16565645349274,0.920406384344787,0.999997691821602,"down_in_AD"
"CD163L1",1039.14835169095,-3.0697646241746,-0.134769696584826,1.58914424961645,0.0533954041725519,0.999997691821602,"down_in_AD"
"CD164",3814.16013032397,0.218369372234944,0.126963050601439,0.357754611237989,0.541604351503,0.999997691821602,"up_in_AD"
"CD180",2560.87237792536,-0.248932962055538,-0.185008680749677,0.246537463125432,0.312631100613067,0.999997691821602,"down_in_AD"
"CD1A",218.679777735635,-4.28656121084363,-0.112903316875232,1.86751380917127,0.0217141969369803,0.962383703244969,"down_in_AD"
"CD1B",14.6048680083355,2.52262671410464,0.290357640089561,1.16212296929481,0.0299534416398194,0.999997691821602,"up_in_AD"
"CD1C",355.844840430084,-0.187870189936541,-0.0358885328693509,0.860316999047483,0.827138332428718,0.999997691821602,"down_in_AD"
"CD1D",159.945161539648,1.63911112247733,0.388763886906045,0.764109472910405,0.0319427715016402,0.999997691821602,"up_in_AD"
"CD1E",429.758563568252,-0.852200788866548,-0.0493216803681651,1.63131925407678,0.601392022198783,0.999997691821602,"down_in_AD"
"CD2",18.6141729457227,2.223924262259,0.194564364565965,1.34895511223665,0.0992240065584858,0.999997691821602,"up_in_AD"
